🏆 Champion League III
- ⁦David⁩ | THTH17 | #URYUUR88
- ⁦[RERE]⁩ | THTH17 | #2JY0LGPV
- ⁦⃤M∑∂uŞ∆★⁩ | THTH17 | #2VLYPRG2U
- ⁦lupastro⁩ | THTH17 | #JYVGGYYG
- ⁦Luke:)⁩ | THTH17 | #29R20P200
- ⁦Massimiliano⁩ | THTH17 | #PR0JP0L22
- ⁦INFERNO⁩ | THTH17 | #LL0JRV9PL
- ⁦ALEXANDER⁩ | THTH17 | #QVVCVLUQV
- ⁦nz⁩ | THTH17 | #RLL0V80J
- ⁦pallino⁩ | THTH17 | #P982VG9JL
- ⁦iChigo⁩ | THTH17 | #C09RJ2JL
- ⁦Bud Spencer⁩ | THTH17 | #P82GY80Y9
- ⁦(The)_(Hacker)⁩ | THTH17 | #CCUG0LYV
- ⁦MARINEFORD⁩ | THTH17 | #UUPRPCCV
- ⁦kando⁩ | THTH17 | #PR8U8JYC9

🏆 Champion League II
- ⁦alien⁩ | THTH17 | #PPRUVU0Q
- ⁦alien 2.0⁩ | THTH17 | #8U9PPV0P0
- ⁦BADDY⁩ | THTH17 | #PPUCJYRQ9
- ⁦Я∆ØuL⁩ | THTH17 | #2VPLP0VLG
- ⁦Я∆◊UL⁩ | THTH17 | #2U2QQURUR
- ⁦MegaSceptile92⁩ | THTH17 | #Q8P2G2PR
- ⁦Matteo⁩ | THTH17 | #JGQYGJ9Y
- ⁦Matteo⁩ | THTH17 | #8U0R2C2GL
- ⁦PSYCO⁩ | THTH17 | #YRLJ0PC08
- ⁦Fᗩᕊᓮට ᙢᗩᘉƮට⁩ | THTH17 | #2PQV082VV
- ⁦Maso⁩ | THTH17 | #PJCGV02P
- ⁦Trinità⁩ | THTH17 | #GC008Y2J
- ⁦[Piliff]⁩ | THTH17 | #QRR2L8UL

🏆 Master League III
- ⁦⚡⚡EAGLE8623 ⚡⚡⁩ | THTH17 | #QU2YQVJ9
- ⁦Nik2⁩ | THTH16 | #LGQ9VVUYL
- ⁦fede⁩ | THTH17 | #9LRPU2JC
- ⁦templare⁩ | THTH17 | #28YRUUUR2
- ⁦van pisu⁩ | THTH17 | #9PR9J9GRL
- ⁦☆Lorenzo☆⁩ | THTH17 | #8RUCP8Q92
- ⁦dεαdl⊕ςκεd⁩ | THTH17 | #P28J90QG
- ⁦Bambino⁩ | THTH15 | #QJJVGVLV0
- ⁦zeta⁩ | THTH17 | #JGJ9UC8Y
- ⁦Robbello⁩ | THTH17 | #80PUPCRV0
- ⁦Papà Grizzly⁩ | THTH17 | #YPRRVCU80
- ⁦Papà Grizzly2⁩ | THTH17 | #R0VJQJQ
- ⁦sten2⁩ | THTH17 | #2R2RU2LGG

🏆 Master League I
- ⁦[RERE]™️⁩ | THTH16 | #L0LR29L22
- ⁦_Sara_♡⁩ | THTH17 | #LGPL8Y90Q
- ⁦Nik⁩ | THTH17 | #LRYLGGYPY
- ⁦Queen⁩ | THTH16 | #P8QLJY8V
- ⁦VivN⁩ | THTH16 | #LULC0QCCY
- ⁦ANTHONY⁩ | THTH17 | #QQLGRLGYR
- ⁦mazinga9⁩ | THTH17 | #2LUQYCPCJ
- ⁦jukosta15⁩ | THTH17 | #80QPVUL0
